"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\koopa\Documents\TT\TrabajoTerminal\CodeExecution.js", "JavaScript", 27, 0, 0, 0, 3, 8, 38
"c:\Users\koopa\Documents\TT\TrabajoTerminal\package-lock.json", "JSON", 0, 17961, 0, 0, 0, 1, 17962
"c:\Users\koopa\Documents\TT\TrabajoTerminal\package.json", "JSON", 0, 59, 0, 0, 0, 1, 60
"c:\Users\koopa\Documents\TT\TrabajoTerminal\public\index.html", "HTML", 0, 0, 0, 20, 23, 1, 44
"c:\Users\koopa\Documents\TT\TrabajoTerminal\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 1, 26
"c:\Users\koopa\Documents\TT\TrabajoTerminal\server.js", "JavaScript", 244, 0, 0, 0, 20, 91, 355
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\App.css", "CSS", 0, 0, 42, 0, 4, 10, 56
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\App.js", "JavaScript", 74, 0, 0, 0, 2, 25, 101
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\components\ExampleModal.js", "JavaScript", 51, 0, 0, 0, 1, 5, 57
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\components\ExamplesDropdownButton.js", "JavaScript", 19, 0, 0, 0, 0, 4, 23
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\components\LoginModal.js", "JavaScript", 45, 0, 0, 0, 0, 5, 50
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\components\Modal.css", "CSS", 0, 0, 27, 0, 0, 7, 34
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\components\ProfessorDropdownButton.js", "JavaScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\components\Quiz.css", "CSS", 0, 0, 46, 0, 4, 13, 63
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\components\Quiz.js", "JavaScript", 128, 0, 0, 0, 1, 27, 156
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\components\QuizDropdownButton.js", "JavaScript", 19, 0, 0, 0, 0, 7, 26
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\components\QuizModal.js", "JavaScript", 23, 0, 0, 0, 0, 5, 28
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\components\StudentDropdownButton.js", "JavaScript", 16, 0, 0, 0, 1, 9, 26
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\components\TopicsDropdownButton.js", "JavaScript", 19, 0, 0, 0, 0, 7, 26
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\components\UserContext.js", "JavaScript", 6, 0, 0, 0, 1, 3, 10
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\controllers\CodeEditorController.js", "JavaScript", 6, 0, 0, 0, 0, 5, 11
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\controllers\ExamplesController.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\controllers\LectureController.js", "JavaScript", 16, 0, 0, 0, 1, 2, 19
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\controllers\NewLectureController.js", "JavaScript", 0, 0, 0, 0, 0, 2, 2
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\controllers\QuizzesController.js", "JavaScript", 11, 0, 0, 0, 0, 2, 13
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\controllers\TopicsController.js", "JavaScript", 11, 0, 0, 0, 0, 3, 14
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\controllers\useLecture.js", "JavaScript", 20, 0, 0, 0, 1, 5, 26
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\controllers\useQuizController.js", "JavaScript", 76, 0, 0, 0, 5, 27, 108
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\index.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\index.js", "JavaScript", 10, 0, 0, 0, 0, 2, 12
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\models\ExampleModel.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\models\LectureModel.js", "JavaScript", 14, 0, 0, 0, 0, 4, 18
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\models\QuizModel.js", "JavaScript", 24, 0, 0, 0, 0, 4, 28
"c:\Users\koopa\Documents\TT\TrabajoTerminal\src\styles\CodeEditor.css", "CSS", 0, 0, 9, 0, 0, 1, 10
